Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
13,13,2019-11-18,@,NYK,L,105,123,36,76,.474,17,36,.472,16,30,.533,10,41,18,2,1,19,26,,44,98,.449,8,23,.348,27,35,.771,19,47,17,8,10,7,24
14,14,2019-11-20,@,MIA,L,100,124,37,87,.425,12,38,.316,14,16,.875,10,34,19,13,2,19,23,,41,78,.526,19,37,.514,23,31,.742,12,44,25,8,5,23,20
15,15,2019-11-22,@,DAL,L,101,143,37,86,.430,12,29,.414,15,17,.882,8,34,23,3,3,10,15,,58,100,.580,20,37,.541,7,9,.778,10,49,31,8,7,5,18
16,16,2019-11-23,,POR,W,110,104,37,87,.425,10,31,.323,26,32,.813,9,52,19,9,2,13,14,,39,87,.448,14,40,.350,12,16,.750,6,38,21,6,6,10,20
17,17,2019-11-25,,BRK,L,106,108,40,94,.426,13,32,.406,13,20,.650,12,45,24,5,4,10,14,,44,94,.468,11,34,.324,9,11,.818,12,48,29,8,10,9,21
18,18,2019-11-27,,ORL,L,104,116,37,81,.457,11,34,.324,19,22,.864,12,49,20,5,0,25,15,,45,93,.484,12,33,.364,14,17,.824,6,34,23,13,6,11,22
19,19,2019-11-29,,MIL,L,110,119,44,88,.500,17,34,.500,5,10,.500,8,41,32,7,1,14,22,,45,88,.511,12,34,.353,17,23,.739,11,47,28,7,4,13,15
20,20,2019-12-03,,DET,L,94,127,38,90,.422,8,27,.296,10,14,.714,12,40,16,6,6,13,11,,51,94,.543,18,35,.514,7,11,.636,10,46,33,11,7,10,16
21,21,2019-12-06,,ORL,L,87,93,35,83,.422,10,34,.294,7,10,.700,10,45,22,9,7,16,19,,32,82,.390,9,26,.346,20,23,.870,10,43,19,10,9,17,13
22,22,2019-12-07,@,PHI,L,94,141,36,96,.375,9,35,.257,13,17,.765,11,35,20,4,0,17,17,,57,90,.633,11,26,.423,16,23,.696,10,51,43,13,8,8,16
