Rk ATL,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,TOV%,ORB%,FT/FGA,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
ATL,59,2020-02-24,@,PHI,L,112,129,109.2,125.8,102.5,10.7,26.4,0.247,40,97,0.412,8,38,0.211,24,27,0.889,14,44,19,5,2,13,26
ATL,60,2020-02-26,,ORL,L,120,130,117,126.7,102.6,7.9,18.8,0.245,42,94,0.447,13,36,0.361,23,25,0.92,9,42,30,5,5,9,22
ATL,61,2020-02-28,,BRK,W,141,118,138.6,116,101.7,6.8,32.6,0.227,50,97,0.515,19,39,0.487,22,30,0.733,15,52,32,8,4,8,15
ATL,62,2020-02-29,,POR,W,129,117,123.2,111.8,104.7,16.1,14.7,0.226,46,84,0.548,18,42,0.429,19,22,0.864,5,36,34,7,5,18,18
ATL,63,2020-03-02,,MEM,L,88,127,85.6,123.6,102.7,13.8,25.8,0.152,32,99,0.323,9,35,0.257,15,16,0.938,16,43,20,6,8,17,21
ATL,64,2020-03-06,@,WAS,L,112,118,113.9,120,98.3,15.7,17.1,0.093,46,86,0.535,12,32,0.375,8,12,0.667,6,36,25,9,4,17,25
ATL,65,2020-03-07,@,MEM,L,101,118,98.6,115.2,102.4,11.5,24.6,0.253,32,95,0.337,13,49,0.265,24,28,0.857,14,46,23,9,2,14,24
ATL,66,2020-03-09,,CHO,W,143,138,133.5,128.8,88.6,12.2,30.8,0.167,53,96,0.552,21,43,0.488,16,27,0.593,12,53,33,1,5,15,26
ATL,67,2020-03-11,,NYK,L,131,136,113.9,118.3,104.1,12.6,26.8,0.198,48,106,0.453,14,41,0.341,21,26,0.808,15,53,26,6,3,17,25
BKN,1,2019-10-23,,MIN,L,126,127,108.5,109.3,105.2,12.5,20,0.149,48,101,0.475,15,34,0.441,15,26,0.577,10,48,19,8,9,16,30
BKN,2,2019-10-25,,NYK,W,113,109,105.3,101.6,107.3,21.9,26.8,0.295,37,78,0.474,16,37,0.432,23,34,0.676,11,46,21,11,2,26,26
BKN,3,2019-10-27,@,MEM,L,133,134,112.8,113.6,106.8,12.7,21.2,0.297,44,101,0.436,15,45,0.333,30,37,0.811,11,53,28,6,5,17,22
BKN,4,2019-10-30,,IND,L,108,118,107.1,117,100.9,15.4,37.5,0.172,41,93,0.441,10,31,0.323,16,26,0.615,18,54,21,6,5,19,19
BKN,5,2019-11-01,,HOU,W,123,116,113.7,107.2,108.2,17,24.4,0.235,42,85,0.494,19,32,0.594,20,28,0.714,10,55,26,8,7,20,21
BKN,6,2019-11-02,@,DET,L,109,113,105.5,109.4,103.3,12.2,21.7,0.14,43,93,0.462,10,32,0.313,13,17,0.765,10,48,24,4,4,14,24
BKN,7,2019-11-04,,NOP,W,135,125,119,110.2,113.5,18.1,29.3,0.228,49,92,0.533,16,41,0.39,21,28,0.75,12,45,32,13,3,23,18
BKN,8,2019-11-08,@,POR,W,119,115,118.4,114.4,100.5,7.4,31.4,0.212,41,99,0.414,16,37,0.432,21,30,0.7,16,51,18,6,9,9,25
BKN,9,2019-11-10,@,PHO,L,112,138,103.4,127.4,108.3,14.7,11.9,0.176,44,91,0.484,8,34,0.235,16,17,0.941,5,43,27,4,2,17,24
BKN,10,2019-11-12,@,UTA,L,114,119,109.5,114.3,104.1,13.7,22.2,0.233,41,90,0.456,11,37,0.297,21,25,0.84,10,43,19,5,8,16,29
BKN,11,2019-11-14,@,DEN,L,93,101,94.2,102.3,98.7,6.4,12.7,0.137,36,95,0.379,8,38,0.211,13,16,0.813,7,51,19,3,2,7,14
BKN,12,2019-11-16,@,CHI,W,117,111,108.7,103.1,107.7,12.9,11.4,0.307,40,88,0.455,10,43,0.233,27,31,0.871,5,40,30,10,9,15,30
BKN,13,2019-11-18,,IND,L,86,115,86.9,116.2,99,8.7,7.7,0.179,30,84,0.357,11,34,0.324,15,24,0.625,4,40,18,2,7,9,19
BKN,14,2019-11-20,,CHO,W,101,91,103,92.8,98.1,13,28.3,0.211,36,90,0.4,10,39,0.256,19,23,0.826,13,53,19,11,1,15,21
BKN,15,2019-11-22,,SAC,W,116,97,117,97.8,99.2,16,33.3,0.272,41,81,0.506,12,34,0.353,22,31,0.71,13,48,22,9,3,18,18
BKN,16,2019-11-24,@,NYK,W,103,101,111.7,109.5,92.2,10.7,17.1,0.351,31,77,0.403,14,38,0.368,27,34,0.794,7,35,18,6,1,11,16
BKN,17,2019-11-25,@,CLE,W,108,106,113.3,111.2,95.3,8.3,26.7,0.096,44,94,0.468,11,34,0.324,9,11,0.818,12,48,29,8,10,9,21
BKN,18,2019-11-27,@,BOS,L,110,121,111.8,123,98.4,13.2,23.4,0.1,40,90,0.444,21,56,0.375,9,19,0.474,11,38,32,5,6,15,22
BKN,19,2019-11-29,,BOS,W,112,107,109.8,104.9,102,15.4,28.9,0.097,43,93,0.462,17,41,0.415,9,13,0.692,13,49,30,9,6,18,24
BKN,20,2019-12-01,,MIA,L,106,109,108.5,111.6,97.7,10.9,20.5,0.132,40,91,0.44,14,42,0.333,12,16,0.75,9,48,24,3,5,12,21
BKN,21,2019-12-04,@,ATL,W,130,118,126.2,114.5,103,12.1,40.9,0.158,50,101,0.495,14,31,0.452,16,18,0.889,18,53,26,8,6,15,20
BKN,22,2019-12-06,@,CHO,W,111,104,117.8,110.4,94.2,14.5,38.5,0.136,42,88,0.477,15,38,0.395,12,15,0.8,15,49,35,12,5,16,21
BKN,23,2019-12-08,,DEN,W,105,102,109.1,106,96.2,10.2,25,0.207,40,87,0.46,7,28,0.25,18,23,0.783,10,48,25,5,1,11,15
BKN,24,2019-12-11,,CHO,L,108,113,115.7,121,93.4,10.5,34.7,0.25,38,88,0.432,10,38,0.263,22,33,0.667,17,52,20,5,3,12,21
BKN,25,2019-12-14,@,TOR,L,102,110,93,100.3,109.7,15.6,24.1,0.119,39,101,0.386,12,46,0.261,12,17,0.706,13,59,24,4,7,20,20
BKN,26,2019-12-15,,PHI,W,109,89,107.5,87.8,101.4,13.6,27.9,0.149,43,94,0.457,9,24,0.375,14,18,0.778,12,51,22,9,1,16,23
BKN,27,2019-12-17,@,NOP,W,108,101,100.7,94.1,97.2,9.4,12.5,0.177,40,96,0.417,11,39,0.282,17,23,0.739,6,54,25,3,10,11,22
BKN,28,2019-12-19,@,SAS,L,105,118,101,113.5,103.9,15.8,15,0.337,35,83,0.422,7,36,0.194,28,30,0.933,6,47,16,9,3,18,21
BKN,29,2019-12-21,,ATL,W,122,112,109.7,100.7,111.2,11.8,24,0.19,46,100,0.46,11,30,0.367,19,28,0.679,12,61,23,8,4,15,18
