,Team,G_x,Date,Opp,W/L_x,Tm_x,Opp.1_x,ORtg_x,Pace_x,TOV%_x,ORB%_x,FT/FGA_x,FG_x,FGA_x,FG%_x,3P_x,3PA_x,3P%_x,ORB_x,TRB_x,TOV_x,PF_x,OppDefRtg
64,ATL,65,2020-03-07,MEM,L,101,118,98.6,102.4,11.5,24.6,0.253,32,95,0.337,13,49,0.265,14,46,14,24,98.6
65,ATL,66,2020-03-09,CHO,W,143,138,133.5,88.6,12.2,30.8,0.16699999999999998,53,96,0.552,21,43,0.488,12,53,15,26,133.5
66,ATL,67,2020-03-11,NYK,L,131,136,113.9,104.1,12.6,26.8,0.198,48,106,0.45299999999999996,14,41,0.341,15,53,17,25,113.9
67,BOS,1,2019-10-23,PHI,L,93,107,91.4,101.8,8.7,16.7,0.222,33,90,0.36700000000000005,7,26,0.26899999999999996,10,41,10,29,91.4
68,BOS,2,2019-10-25,TOR,W,112,106,110.7,101.2,7.2,33.9,0.138,42,109,0.385,13,38,0.342,21,56,9,20,110.7
69,BOS,3,2019-10-26,NYK,W,118,95,115.8,101.9,10.2,25.0,0.204,42,93,0.452,15,41,0.366,13,46,12,26,115.8
70,BOS,4,2019-10-30,MIL,W,116,105,113.3,102.4,8.2,11.1,0.185,41,92,0.446,17,41,0.415,5,45,9,20,113.3
71,BOS,5,2019-11-01,NYK,W,104,102,107.4,96.9,13.9,7.9,0.365,33,74,0.446,11,34,0.324,3,44,14,16,107.4
72,BOS,6,2019-11-05,CLE,W,119,113,118.4,100.5,13.3,11.1,0.129,48,85,0.565,12,30,0.4,4,45,14,23,118.4
73,BOS,7,2019-11-07,CHO,W,108,87,104.8,103.1,10.4,21.6,0.19399999999999998,40,93,0.43,10,33,0.303,11,52,12,19,104.8
74,BOS,8,2019-11-09,SAS,W,135,115,130.1,103.8,7.0,16.3,0.266,48,94,0.511,14,37,0.37799999999999995,7,43,8,25,130.1
75,BOS,9,2019-11-11,DAL,W,116,106,125.2,92.6,8.5,23.3,0.221,41,86,0.47700000000000004,15,35,0.429,10,46,9,27,125.2
76,BOS,10,2019-11-13,WAS,W,140,133,133.6,104.8,9.2,27.0,0.271,49,96,0.51,16,36,0.444,10,44,11,26,133.6
77,BOS,11,2019-11-15,GSW,W,105,100,102.8,102.1,12.2,20.4,0.198,37,91,0.40700000000000003,13,33,0.39399999999999996,11,47,14,24,102.8
