Rk ATL,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,Rk ATL,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
11,11,2019-11-14,@,PHO,L,112,128,101.9,116.5,109.9,0.33,0.341,0.537,55.7,62.5,13.7,10.9,,0.484,17.4,31.9,0.264,,0.571,16.4,82.9,0.365,11,11,2019-11-14,@,PHO,L,112,128,40,91,0.44,8,31,0.258,24,30,0.8,15,49,25,15,5,22,31
12,12,2019-11-16,@,LAC,L,101,150,92.1,136.9,109.6,0.411,0.267,0.475,41.8,55.9,10,16.7,,0.411,15.2,25.5,0.3,,0.629,14.9,66.7,0.355,12,12,2019-11-16,@,LAC,L,101,150,34,90,0.378,6,24,0.25,27,37,0.73,14,38,19,11,10,19,27
13,13,2019-11-17,@,LAL,L,101,122,100,120.8,101,0.291,0.326,0.521,46.8,43.2,10.9,3.7,,0.477,15.7,22,0.221,,0.612,14.3,73.7,0.146,13,13,2019-11-17,@,LAL,L,101,122,37,86,0.43,8,28,0.286,19,25,0.76,9,37,16,11,2,18,19
14,14,2019-11-20,,MIL,L,127,135,114.4,121.6,111,0.323,0.323,0.579,48.3,61.4,7.2,4.5,,0.531,10.6,19.1,0.26,,0.626,15.7,81,0.299,14,14,2019-11-20,,MIL,L,127,135,44,96,0.458,14,31,0.452,25,31,0.806,9,43,27,8,2,13,26
15,15,2019-11-22,@,DET,L,103,128,104.8,130.2,98.3,0.193,0.42,0.539,44.7,68.4,12.2,4.2,,0.489,16.6,25,0.193,,0.701,16.5,66.7,0.159,15,15,2019-11-22,@,DET,L,103,128,38,88,0.432,10,37,0.27,17,17,1,10,34,26,12,2,19,18
16,16,2019-11-23,,TOR,L,116,119,116,119,100,0.122,0.378,0.612,47.5,68.1,9,13.7,,0.6,13.7,21.1,0.089,,0.528,12.9,71.4,0.295,16,16,2019-11-23,,TOR,L,116,119,47,90,0.522,14,34,0.412,8,11,0.727,8,38,32,9,7,15,27
17,17,2019-11-25,,MIN,L,113,125,107.1,118.5,105.5,0.277,0.34,0.536,47.2,63.4,5.7,7.3,,0.489,13.9,21.4,0.223,,0.539,10.9,70.2,0.311,17,17,2019-11-25,,MIN,L,113,125,41,94,0.436,10,32,0.313,21,26,0.808,9,42,26,6,4,17,25
18,18,2019-11-27,@,MIL,L,102,111,99.4,108.2,102.6,0.234,0.362,0.492,51,57.9,3.9,9.3,,0.463,14.1,27.5,0.16,,0.534,12.3,77.8,0.193,18,18,2019-11-27,@,MIL,L,102,111,38,94,0.404,11,34,0.324,15,22,0.682,14,49,22,4,5,17,25
19,19,2019-11-29,@,IND,L,104,105,96.4,97.3,97.7,0.2,0.356,0.531,53.3,35.9,9.3,4.5,,0.483,19.7,23.3,0.189,,0.457,12.6,80.9,0.228,19,19,2019-11-29,@,IND,L,104,105,39,90,0.433,9,32,0.281,17,18,0.944,10,48,14,10,3,24,27
20,20,2019-11-30,@,HOU,L,111,158,108.2,154,102.6,0.281,0.517,0.555,35.8,68.4,4.9,5.3,,0.511,11.5,17,0.225,,0.725,12.6,61.8,0.326,20,20,2019-11-30,@,HOU,L,111,158,38,89,0.427,15,46,0.326,20,25,0.8,8,29,26,5,2,13,23
21,21,2019-12-02,,GSW,W,104,79,113.1,85.9,92,0.169,0.326,0.544,45.2,51.2,14.1,6.1,,0.506,12.8,28.2,0.157,,0.416,20.7,60,0.12,21,21,2019-12-02,,GSW,W,104,79,41,89,0.461,8,29,0.276,14,15,0.933,11,38,21,13,4,14,12
